ID;Var;Dormancy;Box;LT;Time;LAI;MaxLAI
M12;MARINA;7;1;C;20;13128;15637
M13;MARINA;7;3;S;20;4838;5193
M14;MARINA;7;1;C;20;4312;4619
M15;MARINA;7;4;S;20;7092;9103
M16;MARINA;7;4;S;20;9370;9583
M17;MARINA;7;4;S;20;10213;12312
M18;MARINA;7;4;S;20;13977;13977
M19;MARINA;7;2;C;20;3290;4247
M20;MARINA;7;1;C;20;6957;8073
M21;MARINA;7;2;C;20;11174;13224
M22;MARINA;7;4;S;20;10839;12213
M23;MARINA;7;1;C;20;9729;10556
M24;MARINA;7;3;S;20;3392;4134
M25;MARINA;7;3;S;20;7290;8037
M26;MARINA;7;2;C;20;9105;9954
M27;MARINA;7;1;C;20;12246;12508
M28;MARINA;7;2;C;20;9513;11289
M29;MARINA;7;1;C;20;9187;10029
M30;MARINA;7;4;S;20;8252;8252
B1;BARVINCE;7;1;C;20;6097;7041
B2;BARVINCE;7;1;C;20;5829;6374
B3;BARVINCE;7;3;S;20;9328;10527
B4;BARVINCE;7;3;S;20;8338;9362
B5;BARVINCE;7;3;S;20;4328;5785
B6;BARVINCE;7;2;C;20;7467;9130
B7;BARVINCE;7;3;S;20;4390;4541
B8;BARVINCE;7;2;C;20;8970;9283
B9;BARVINCE;7;4;S;20;9419;9829
B10;BARVINCE;7;3;S;20;11364;13228
B11;BARVINCE;7;2;C;20;10195;11955
B12;BARVINCE;7;3;S;20;9787;10548
B13;BARVINCE;7;1;C;20;3356;3829
B14;BARVINCE;7;2;C;20;2603;4169
B15;BARVINCE;7;2;C;20;3996;4527
B16;BARVINCE;7;4;S;20;4785;5907
B17;BARVINCE;7;4;S;20;5513;5801
B18;BARVINCE;7;1;C;20;7256;7594
B19;BARVINCE;7;1;C;20;5349;6520
B20;BARVINCE;7;4;S;20;6201;6410
B21;BARVINCE;7;1;C;20;4125;4774
B22;BARVINCE;7;3;S;20;5939;7324
B23;BARVINCE;7;2;C;20;4991;4991
B24;BARVINCE;7;4;S;20;9765;10306
